店名,支店名,商品,量,金額,コメント,日付
セブンイレブン,赤坂一丁目,バナナ,1本,105,,2019/4/28
セブンイレブン,赤坂一丁目,バナナ,3本,213,,2019/4/28
セブンイレブン,赤坂一丁目,プチトマト,約30個,150,定価191円,2019/4/28
ファミリーマート,赤坂一丁目,プチトマト,約10個,108,,2019/4/28
ナチュラルローソン,アークヒルズフロントタワー,バナナ,3本,298,,2019/4/28
ナチュラルローソン,アークヒルズフロントタワー,ひきわり納豆,,142,,2019/4/28
ナチュラルローソン,アークヒルズフロントタワー,卵,6個,312,,2019/4/28
ナチュラルローソン,アークヒルズフロントタワー,卵,10個,409,,2019/4/28
セブンイレブン,港区赤坂駅南店,卵,10個,221,,2019/4/28
セブンイレブン,港区赤坂駅南店,卵,6個,198,,2019/4/28
セブンイレブン,港区赤坂駅南店,納豆,3パック,100,,2019/4/28
セブンイレブン,港区赤坂駅南店,バナナ,1本,98,,2019/4/28
セブンイレブン,港区赤坂駅南店,バナナ,3本,198,,2019/4/28
ローソン,赤坂氷川公園前,納豆,3パック 45g,72,,2019/4/28
ローソン,赤坂氷川公園前,納豆,3パック 50g,100,,2019/4/28
ローソン,赤坂氷川公園前,卵,6個,162,,2019/4/28
ローソン,赤坂氷川公園前,卵,10個,204,,2019/4/28
ローソン,赤坂氷川公園前,バナナ,1本,100,,2019/4/28
マルエツプチ,赤坂,プチトマト,約20個,248,,2019/4/28
マルエツプチ,赤坂,卵,6個,148,,2019/4/28
マルエツプチ,赤坂,卵,10個,198,広告の品,2019/4/28
マルエツプチ,赤坂,卵,10個,218,,2019/4/28
ファミリーマート,赤坂六丁目,卵,6個,188,,2019/4/28
ファミリーマート,赤坂六丁目,バナナ,3本,228,,2019/4/28
ファミリーマート,赤坂六丁目,バナナ,1本,108,,2019/4/28
ファミリーマート,赤坂六丁目,納豆,3パック 45g,83,,2019/4/28
ローソン,赤坂六丁目,卵,10個,220,,2019/4/28
ローソン,赤坂六丁目,卵,6個,175,,2019/4/28
ローソン,赤坂六丁目,プチトマト,約10個,198,,2019/4/28
ローソン,赤坂六丁目,納豆,3パック 50g,78,,2019/4/28
ローソン,赤坂六丁目,牛乳,1L,158,,2019/4/28
マルエツプチ,赤坂,米,5kg,2373,,2019/4/23
